Start Time (s),Duration (s),Text
0.08,8.4,तारक मेहता का उल्टा चश्मा
5.12,6.88,थोड़ा धीरज रखो पता चल जाएगा।
8.48,7.039,जेठा भाई आपको क्या लगता है? देखिए मेरा
12.0,7.199,ऐसा मानना है कि ये खेल महोत्सव में सबसे
15.519,6.321,बड़ा खिलाड़ी नसीब है।
19.199,4.32,नसीब कौन है जो विजेता बनेगा। वो कमाल है
21.84,4.48,यार हमारी सोसाइटी में कोई नया बंदा आ गया
23.519,6.0,और हमको पता ही नहीं।
26.32,9.04,अरे नहीं नहीं भाई छोटी नसीब मतलब किस्मत।
29.519,9.281,ओ जेठा ओ पता यार ओ मैं मजाक कर रहा
35.36,7.08,सर एक बात मैं कह रहा था कि सबसे बड़ा
38.8,7.439,खिलाड़ी नसीब है क्योंकि देखिए सारा
42.44,6.439,दामोदरार इस बात पे है कि कौन से खेल हमें
46.239,5.361,खेलने को मिलते हैं जो खेल हम जानते हैं
48.879,4.961,जो हम अच्छी तरह से खेल सकते हैं। अगर ऐसे
51.6,5.04,खेल आए तो तो कोई प्रॉब्लम नहीं है। आराम
53.84,5.12,से जीत सकते हैं। लेकिन अगर ऐसा खेल आए कि
56.64,5.28,जो हमको पता ही नहीं है तो फिर अब ये टाइम
58.96,6.239,पे सीखने कहां जाएंगे तो तो टेंशन है ना।
61.92,7.16,भाई मेरा फड्डा तो कुछ अलग ही है। खेल
65.199,6.161,चाहे कोई भी हो। मोतीचूर के लड्डू
69.08,3.96,रसगुल्ले और गुलाब जामुन तो मैं ही
71.36,4.24,जीतूंगा।
73.04,5.92,ये मिठाई कहां से आई बीच में? मेरा मतलब
75.6,7.76,है गोल्ड मेडल मोतीचूर के लड्डू।
78.96,5.96,"और सिल्वर मेडल, रसगुल्ले और ब्रॉनज़ मेडल,"
83.36,5.119,गुलाब
84.92,5.44,जामुन। मतलब मेडल्स को मिठाई समझूंगा तभी
88.479,2.721,तो जीत पाऊंगा ना।
90.36,1.439,[प्रशंसा]
91.2,4.32,खा-
91.799,3.721,"खा दिवस खा, खा और सेहत बना, बना बना अप"
95.52,1.279,बना अप बना अप बना अप बना अप बना अप बना
95.52,3.52,अप बना अप बना अप बना अप बना। सुनी भाई
96.799,4.601,आपको क्या लगता है? अरे ये जो गोकुलम खेल
99.04,5.92,महोत्सव का अवार्ड है ना वो तो मैं ही
101.4,6.999,जीतूंगा। कह रहा मैं तो हूं स्पोर्ट्स का।
